"Time","camera_rel_pose_dphi","camera_rel_pose_dx","camera_rel_pose_dy","fusion_rel_pose_dphi","fusion_rel_pose_dx","fusion_rel_pose_dy","groundtruth_follow_longi_velocity","groundtruth_lead_longi_velocity","groundtruth_rel_pose_dphi","groundtruth_rel_pose_dx","groundtruth_rel_pose_dy","lidar_rel_pose_dphi","lidar_rel_pose_dx","lidar_rel_pose_dy"
1.111,-0.001819930342,3.128728332,0.005598101969,-0.003275029934,3.168139518,0.006016123194,1.323770955e-05,1.236947882e-05,4.412579191e-10,3.110000133,1.341662958e-06,-0.009047523107,3.172993882,0.006233700306
1.121,-0.001819930342,3.128728332,0.005598101969,-0.003275031978,3.168140014,0.006016129007,1.23694788e-05,1.236947882e-05,1.916911074e-12,3.11,1.438981985e-06,-0.009047523107,3.172993882,0.006233700306
1.131,-0.001819930342,3.128728332,0.005598101969,-0.003275029221,3.168140694,0.006016102707,1.156966831e-05,1.156966833e-05,1.913358361e-12,3.11,1.430689702e-06,-0.009047523107,3.172993882,0.006233700306
1.141,-0.001819930342,3.128728332,0.005598101969,-0.003275029861,3.168141083,0.006016096778,1.084278734e-05,1.084278736e-05,1.910027692e-12,3.11,1.421434168e-06,-0.009047523107,3.172993882,0.006233700306
1.151,-0.001819930342,3.128728332,0.005598101969,-0.003594224077,3.168408124,0.006026979051,1.019602616e-05,1.019602618e-05,1.906697022e-12,3.11,1.411974418e-06,-0.009056237257,3.172996231,0.006236997314
1.161,-0.001819930342,3.128728332,0.005598101969,-0.00359423129,3.168408606,0.006027014059,9.600133782e-06,9.600133799e-06,1.903144309e-12,3.11,1.401269161e-06,-0.009056237257,3.172996231,0.006236997314
1.171,-0.001819930342,3.128728332,0.005598101969,-0.003594222407,3.168409233,0.006026944835,9.064420334e-06,9.064420349e-06,1.899369551e-12,3.11,1.390190431e-06,-0.009056237257,3.172996231,0.006236997314
1.181,-0.001819930342,3.128728332,0.005598101969,-0.003594224205,3.16840962,0.006026944067,8.584649368e-06,8.584649382e-06,1.895594792e-12,3.11,1.378867344e-06,-0.009056237257,3.172996231,0.006236997314
1.191,-0.001819930342,3.128728332,0.005598101969,-0.003594221806,3.168410073,0.006026916249,8.142778297e-06,8.14277831e-06,1.892486168e-12,3.11,1.366804556e-06,-0.009056237257,3.172996231,0.006236997314
1.201,-0.001819930342,3.128728332,0.005598101969,-0.003594222302,3.168410541,0.006026906679,7.746576769e-06,7.74657678e-06,1.888933454e-12,3.11,1.354677635e-06,-0.009056237257,3.172996231,0.006236997314
1.211,-0.001819930342,3.128728332,0.005598101969,-0.003899213779,3.168626436,0.006085015074,7.38846629e-06,7.3884663e-06,1.88582483e-12,3.11,1.342341442e-06,-0.009425627471,3.17254629,0.007175184168
1.221,-0.001819930342,3.128728332,0.005598101969,-0.003899226526,3.168626785,0.006085081667,7.059570185e-06,7.059570193e-06,1.882716205e-12,3.11,1.329615985e-06,-0.009425627471,3.17254629,0.007175184168
1.231,-0.001819930342,3.128728332,0.005598101969,-0.003899210526,3.16862725,0.006084966726,6.764541766e-06,6.764541772e-06,1.879163491e-12,3.11,1.316922418e-06,-0.009425627471,3.17254629,0.007175184168
1.241,-0.001819930342,3.128728332,0.005598101969,-0.003899213538,3.168627714,0.006084972404,6.495755589e-06,6.495755594e-06,1.875832822e-12,3.11,1.304064362e-06,-0.009425627471,3.17254629,0.007175184168
