"Time","estimated_follow_longi_velocity","estimated_follow_sideslip_angle","estimated_lead_longi_velocity","estimated_lead_sideslip_angle","groundtruth_follow_longi_velocity","groundtruth_follow_sideslip_angle","groundtruth_lead_longi_velocity","groundtruth_lead_sideslip_angle"
2.641,0.1279216238,0,0.109849956,0,0.1551543455,0,0.1551543455,0
2.651,0.1359677127,0,0.1238373839,0,0.1631844418,0,0.1631844418,0
2.661,0.1445015058,0,0.1238373839,0,0.1715288505,0,0.1715288505,0
2.671,0.1533564924,0,0.1414875933,0,0.1801863401,0,0.1801863401,0
2.681,0.1625296103,0,0.1414875933,0,0.1891536826,0,0.1891536826,0
2.691,0.1718075025,0,0.160528925,0,0.1984266936,0,0.1984266936,0
2.701,0.1816014996,0,0.160528925,0,0.208003944,0,0.208003944,0
2.711,0.191702991,0,0.1789610366,0,0.2178843753,0,0.2178843753,0
2.721,0.2021092638,0,0.1789610366,0,0.2280654535,0,0.2280654535,0
2.731,0.2125214386,0,0.1967016857,0,0.2385436125,0,0.2385436125,0
2.741,0.2235242145,0,0.1967016857,0,0.2493185018,0,0.2493185017,0
2.751,0.2348291508,0,0.2195604485,0,0.2603922288,0,0.2603922288,0
2.761,0.2464285583,0,0.2195604485,0,0.2717541877,0,0.2717541877,0
2.771,0.2578230269,0,0.2403287271,0,0.2833960939,0,0.2833960939,0
2.781,0.2699804626,0,0.2403287271,0,0.2953121965,0,0.2953121965,0
2.791,0.2824068437,0,0.2707223164,0,0.3074961156,0,0.3074961155,0
2.801,0.2950944896,0,0.2707223164,0,0.3199405728,0,0.3199405727,0
2.811,0.3072196811,0,0.290732778,0,0.3326377741,0,0.332637774,0
