"Time","estimated_follow_longi_velocity","follow_velocity_deviation_FL","follow_velocity_deviation_FR","follow_velocity_deviation_RL","follow_velocity_deviation_RR","follow_wheel_rot_rate_change_FL","follow_wheel_rot_rate_change_FR","follow_wheel_rot_rate_change_RL","follow_wheel_rot_rate_change_RR","follow_wheel_speed_CG_FL","follow_wheel_speed_CG_FR","follow_wheel_speed_CG_RL","follow_wheel_speed_CG_RR","groundtruth_follow_longi_velocity","is_follow_wheel_data_valid_FL","is_follow_wheel_data_valid_FR","is_follow_wheel_data_valid_RL","is_follow_wheel_data_valid_RR"
0.591,-2.135394564e-05,4.166788677e-05,4.364755779e-05,4.167618312e-05,4.363964565e-05,7.142857143e-07,7.142857143e-07,7.142857143e-07,7.142857143e-07,-9.898401185e-07,9.89839793e-07,-9.817312671e-07,9.817312671e-07,9.928165859e-07,1,1,1,1
0.601,-3.201131891e-05,4.166788677e-05,4.364755779e-05,4.167618312e-05,4.363964565e-05,7.142857143e-07,7.142857143e-07,7.142857143e-07,7.142857143e-07,-9.898401185e-07,9.89839793e-07,-9.817312671e-07,9.817312671e-07,1.011917444e-06,1,1,1,1
0.611,-4.262769871e-08,4.152998492e-05,4.380977577e-05,4.153951033e-05,4.380063536e-05,6.666666667e-07,6.666666667e-07,6.666666667e-07,6.666666667e-07,-1.139901042e-06,1.139900027e-06,-1.130562513e-06,1.130562513e-06,1.028860193e-06,1,1,1,1
0.621,-1.070291802e-05,4.152998492e-05,4.380977577e-05,4.153951033e-05,4.380063536e-05,6.666666667e-07,6.666666667e-07,6.666666667e-07,6.666666667e-07,-1.139901042e-06,1.139900027e-06,-1.130562513e-06,1.130562513e-06,1.043534857e-06,1,1,1,1
0.631,-2.136488401e-05,4.152998492e-05,4.380977577e-05,4.153951033e-05,4.380063536e-05,6.666666667e-07,6.666666667e-07,6.666666667e-07,6.666666667e-07,-1.139901042e-06,1.139900027e-06,-1.130562513e-06,1.130562513e-06,1.055850714e-06,1,1,1,1
0.641,-3.202866335e-05,4.152998492e-05,4.380977577e-05,4.153951033e-05,4.380063536e-05,6.666666667e-07,6.666666667e-07,6.666666667e-07,6.666666667e-07,-1.139901042e-06,1.139900027e-06,-1.130562513e-06,1.130562513e-06,1.065680235e-06,1,1,1,1
0.651,-4.265220814e-08,4.149901124e-05,4.3889584e-05,4.150899058e-05,4.387999036e-05,6.25e-07,6.25e-07,6.25e-07,6.25e-07,-1.195292471e-06,1.195290991e-06,-1.185499886e-06,1.185499886e-06,1.073015084e-06,1,1,1,1
0.661,-1.071030311e-05,4.149901124e-05,4.3889584e-05,4.150899058e-05,4.387999036e-05,6.25e-07,6.25e-07,6.25e-07,6.25e-07,-1.195292471e-06,1.195290991e-06,-1.185499886e-06,1.185499886e-06,1.078057376e-06,1,1,1,1
0.671,-2.137984115e-05,4.149901124e-05,4.3889584e-05,4.150899058e-05,4.387999036e-05,6.25e-07,6.25e-07,6.25e-07,6.25e-07,-1.195292471e-06,1.195290991e-06,-1.185499886e-06,1.185499886e-06,1.080513223e-06,1,1,1,1
0.681,-3.204892872e-05,4.149901124e-05,4.3889584e-05,4.150899058e-05,4.387999036e-05,6.25e-07,6.25e-07,6.25e-07,6.25e-07,-1.195292471e-06,1.195290991e-06,-1.185499886e-06,1.185499886e-06,1.080076684e-06,1,1,1,1
0.691,-4.268052366e-08,4.155181394e-05,4.389338878e-05,4.156159298e-05,4.388399586e-05,5.882352941e-07,5.882352941e-07,5.882352941e-07,5.882352941e-07,-1.170793477e-06,1.170791838e-06,-1.161201444e-06,1.161201444e-06,1.076148909e-06,1,1,1,1
0.701,-1.072127003e-05,4.155181394e-05,4.389338878e-05,4.156159298e-05,4.388399586e-05,5.882352941e-07,5.882352941e-07,5.882352941e-07,5.882352941e-07,-1.170793477e-06,1.170791838e-06,-1.161201444e-06,1.161201444e-06,1.068060272e-06,1,1,1,1
0.711,-2.140447645e-05,4.155181394e-05,4.389338878e-05,4.156159298e-05,4.388399586e-05,5.882352941e-07,5.882352941e-07,5.882352941e-07,5.882352941e-07,-1.170793477e-06,1.170791838e-06,-1.161201444e-06,1.161201444e-06,1.055947427e-06,1,1,1,1
0.721,-3.209184178e-05,4.155181394e-05,4.389338878e-05,4.156159298e-05,4.388399586e-05,5.882352941e-07,5.882352941e-07,5.882352941e-07,5.882352941e-07,-1.170793477e-06,1.170791838e-06,-1.161201444e-06,1.161201444e-06,1.040315881e-06,1,1,1,1
0.731,-4.273916325e-08,4.169394774e-05,4.386869569e-05,4.17030441e-05,4.385998589e-05,5.555555556e-07,5.555555556e-07,5.555555556e-07,5.555555556e-07,-1.087379609e-06,1.087378059e-06,-1.078470894e-06,1.078470894e-06,1.021473296e-06,1,1,1,1
0.741,-1.073417876e-05,4.169394774e-05,4.386869569e-05,4.17030441e-05,4.385998589e-05,5.555555556e-07,5.555555556e-07,5.555555556e-07,5.555555556e-07,-1.087379609e-06,1.087378059e-06,-1.078470894e-06,1.078470894e-06,9.999479804e-07,1,1,1,1
0.751,-2.142781721e-05,4.169394774e-05,4.386869569e-05,4.17030441e-05,4.385998589e-05,5.555555556e-07,5.555555556e-07,5.555555556e-07,5.555555556e-07,-1.087379609e-06,1.087378059e-06,-1.078470894e-06,1.078470894e-06,9.762556827e-07,1,1,1,1
0.761,-3.212402797e-05,4.169394774e-05,4.386869569e-05,4.17030441e-05,4.385998589e-05,5.555555556e-07,5.555555556e-07,5.555555556e-07,5.555555556e-07,-1.087379609e-06,1.087378059e-06,-1.078470894e-06,1.078470894e-06,9.508348375e-07,1,1,1,1
0.771,-4.278178478e-08,4.18637993e-05,4.378429893e-05,4.187185492e-05,4.377663e-05,5.263157895e-07,5.263157895e-07,5.263157895e-07,5.263157895e-07,-9.602547516e-07,9.602534552e-07,-9.523875388e-07,9.523875388e-07,9.236176946e-07,1,1,1,1
0.781,-1.074645716e-05,4.18637993e-05,4.378429893e-05,4.187185492e-05,4.377663e-05,5.263157895e-07,5.263157895e-07,5.263157895e-07,5.263157895e-07,-9.602547516e-07,9.602534552e-07,-9.523875388e-07,9.523875388e-07,8.945388787e-07,1,1,1,1
0.791,-2.145302237e-05,4.18637993e-05,4.378429893e-05,4.187185492e-05,4.377663e-05,5.263157895e-07,5.263157895e-07,5.263157895e-07,5.263157895e-07,-9.602547516e-07,9.602534552e-07,-9.523875388e-07,9.523875388e-07,8.639490869e-07,1,1,1,1
0.801,-3.216176264e-05,4.18637993e-05,4.378429893e-05,4.187185492e-05,4.377663e-05,5.263157895e-07,5.263157895e-07,5.263157895e-07,5.263157895e-07,-9.602547516e-07,9.602534552e-07,-9.523875388e-07,9.523875388e-07,8.324379588e-07,1,1,1,1
0.811,-4.282936431e-08,4.206858468e-05,4.367493602e-05,4.207535431e-05,4.366855318e-05,5e-07,5e-07,5e-07,5e-07,-8.031797314e-07,8.031787717e-07,-7.965994376e-07,7.965994376e-07,8.006441573e-07,1,1,1,1
0.821,-1.075383493e-05,4.206858468e-05,4.367493602e-05,4.207535431e-05,4.366855318e-05,5e-07,5e-07,5e-07,5e-07,-8.031797314e-07,8.031787717e-07,-7.965994376e-07,7.965994376e-07,7.691424456e-07,1,1,1,1
0.831,-2.146514943e-05,4.206858468e-05,4.367493602e-05,4.207535431e-05,4.366855318e-05,5e-07,5e-07,5e-07,5e-07,-8.031797314e-07,8.031787717e-07,-7.965994376e-07,7.965994376e-07,7.383946961e-07,1,1,1,1
0.841,-3.217640326e-05,4.206858468e-05,4.367493602e-05,4.207535431e-05,4.366855318e-05,5e-07,5e-07,5e-07,5e-07,-8.031797314e-07,8.031787717e-07,-7.965994376e-07,7.965994376e-07,7.087410408e-07,1,1,1,1
0.851,-4.284466121e-08,4.224932674e-05,4.352498075e-05,4.225474246e-05,4.351995165e-05,2.99296666e-23,3.606524825e-22,8.647194622e-24,2.042155332e-23,-6.378301692e-07,6.378295339e-07,-6.32604591e-07,6.32604591e-07,6.804123184e-07,1,1,1,1
0.861,-1.075332457e-05,4.224932674e-05,4.352498075e-05,4.225474246e-05,4.351995165e-05,2.99296666e-23,3.606524825e-22,8.647194622e-24,2.042155332e-23,-6.378301692e-07,6.378295339e-07,-6.32604591e-07,6.32604591e-07,6.535513294e-07,1,1,1,1
0.871,-2.146325627e-05,4.224932674e-05,4.352498075e-05,4.225474246e-05,4.351995165e-05,2.99296666e-23,3.606524825e-22,8.647194622e-24,2.042155332e-23,-6.378301692e-07,6.378295339e-07,-6.32604591e-07,6.32604591e-07,6.282354152e-07,1,1,1,1
0.881,-3.217260162e-05,4.224932674e-05,4.352498075e-05,4.225474246e-05,4.351995165e-05,2.99296666e-23,3.606524825e-22,8.647194622e-24,2.042155332e-23,-6.378301692e-07,6.378295339e-07,-6.32604591e-07,6.32604591e-07,6.044965118e-07,1,1,1,1
0.891,-4.28386059e-08,4.240189659e-05,4.336041679e-05,4.240601385e-05,4.335668582e-05,2.394373328e-23,2.92562491e-22,8.535150484e-24,1.543156058e-23,-4.792624263e-07,4.792620476e-07,-4.753359839e-07,4.753359839e-07,5.823371565e-07,1,1,1,1
0.901,-1.075099232e-05,4.240189659e-05,4.336041679e-05,4.240601385e-05,4.335668582e-05,2.394373328e-23,2.92562491e-22,8.535150484e-24,1.543156058e-23,-4.792624263e-07,4.792620476e-07,-4.753359839e-07,4.753359839e-07,5.617422785e-07,1,1,1,1
0.911,-2.145855789e-05,4.240189659e-05,4.336041679e-05,4.240601385e-05,4.335668582e-05,2.394373328e-23,2.92562491e-22,8.535150484e-24,1.543156058e-23,-4.792624263e-07,4.792620476e-07,-4.753359839e-07,4.753359839e-07,5.426873171e-07,1,1,1,1
0.921,-3.216553943e-05,4.240189659e-05,4.336041679e-05,4.240601385e-05,4.335668582e-05,2.394373328e-23,2.92562491e-22,8.535150484e-24,1.543156058e-23,-4.792624263e-07,4.792620476e-07,-4.753359839e-07,4.753359839e-07,5.251434429e-07,1,1,1,1
0.931,-4.28291566e-08,4.25356189e-05,4.320786596e-05,4.253856407e-05,4.320530684e-05,1.795779996e-23,2.244724995e-22,8.576389239e-24,1.04026163e-23,-3.361251321e-07,3.361249309e-07,-3.333713874e-07,3.333713874e-07,5.090806782e-07,1,1,1,1
